conversation_start,response
"Hi, how's work going?","Yeah, it's been a while! Good to see you."
"Hi, how are you?","I've been busy with work, but all is good."
"Hello, did you catch the game last night?","Work's been hectic, but I'm managing."
"Hi, how's the weather over there?","Work's been hectic, but I'm managing."
"Hi, how are you?","I've been busy with work, but all is good."
"Hey, long time no see!","Yeah, it's been a while! Good to see you."
"Hey, what have you been up to?","Yeah, it's been a while! Good to see you."
Hello! What's up?,"It's sunny and warm here, how about there?"
Hello! What's up?,"Yeah, it's been a while! Good to see you."
"Hi, what's new with you?","Work's been hectic, but I'm managing."
Good morning! How's your day?,"Work's been hectic, but I'm managing."
"Hi, how are you?","Not much, just the usual routine."
"Hi, what's new with you?","I've been busy with work, but all is good."
Good evening! Any weekend plans?,"Not much, just relaxing. How about you?"
"Hi, what's new with you?","Work's been hectic, but I'm managing."
"Hi, how's the weather over there?","Not yet, I'm still deciding what to do."
"Hello, did you catch the game last night?","My day has been pretty good, how about yours?"
"Hi, how are you?","Not much, just relaxing. How about you?"
"Hi, how are you?","My day has been pretty good, how about yours?"
"Hi, what's new with you?","My day has been pretty good, how about yours?"
Good evening! Any weekend plans?,"I've been busy with work, but all is good."
"Hi, what's new with you?","I've been busy with work, but all is good."
"Hi, what's new with you?","I've been busy with work, but all is good."
"Hi, how are you?","It's sunny and warm here, how about there?"
"Hey, what have you been up to?","I've been busy with work, but all is good."
"Hey, what have you been up to?","I'm doing great, thanks for asking!"
"Hi, how's work going?","Not much, just the usual routine."
"Hi, how's the weather over there?",Yes! It was an intense match!
"Hey, what have you been up to?","I've been busy with work, but all is good."
"Hi, how's the weather over there?","I'm doing great, thanks for asking!"
Good morning! How's your day?,"Work's been hectic, but I'm managing."
"Hey, long time no see!","Not much, just the usual routine."
"Hi, what's new with you?","Not much, just relaxing. How about you?"
Good evening! Any weekend plans?,"Not much, just relaxing. How about you?"
"Hey, what have you been up to?","Not much, just the usual routine."
Good evening! Any weekend plans?,Yes! It was an intense match!
"Hey, what have you been up to?","My day has been pretty good, how about yours?"
"Hey, what have you been up to?","My day has been pretty good, how about yours?"
Good evening! Any weekend plans?,"Work's been hectic, but I'm managing."
Hello! What's up?,"I've been busy with work, but all is good."
"Hi, what's new with you?","Not much, just relaxing. How about you?"
Good morning! How's your day?,"Work's been hectic, but I'm managing."
"Hi, how are you?","Not yet, I'm still deciding what to do."
"Hi, how are you?","Yeah, it's been a while! Good to see you."
"Hello, did you catch the game last night?","I've been busy with work, but all is good."
Hello! What's up?,"It's sunny and warm here, how about there?"
"Hello, did you catch the game last night?","Yeah, it's been a while! Good to see you."
"Hi, how's the weather over there?","My day has been pretty good, how about yours?"
Good morning! How's your day?,"It's sunny and warm here, how about there?"
Hello! What's up?,"Work's been hectic, but I'm managing."
"Hey, long time no see!","Not much, just the usual routine."
"Hey, what have you been up to?","Work's been hectic, but I'm managing."
Good evening! Any weekend plans?,"Not much, just the usual routine."
"Hey, long time no see!","My day has been pretty good, how about yours?"
Hello! What's up?,"My day has been pretty good, how about yours?"
"Hey, what have you been up to?","Yeah, it's been a while! Good to see you."
"Hi, how's work going?","My day has been pretty good, how about yours?"
"Hi, what's new with you?","I'm doing great, thanks for asking!"
"Hey, long time no see!","Not yet, I'm still deciding what to do."
"Hi, what's new with you?","My day has been pretty good, how about yours?"
"Hello, did you catch the game last night?","Not much, just the usual routine."
"Hey, what have you been up to?",Yes! It was an intense match!
"Hi, how's work going?","Not yet, I'm still deciding what to do."
"Hi, what's new with you?",Yes! It was an intense match!
"Hi, what's new with you?","Work's been hectic, but I'm managing."
"Hi, what's new with you?","Not much, just relaxing. How about you?"
Good morning! How's your day?,"I've been busy with work, but all is good."
"Hi, how's the weather over there?",Yes! It was an intense match!
"Hey, long time no see!","I've been busy with work, but all is good."
Good evening! Any weekend plans?,"I've been busy with work, but all is good."
"Hello, did you catch the game last night?","I'm doing great, thanks for asking!"
"Hi, what's new with you?","I've been busy with work, but all is good."
"Hey, what have you been up to?","Yeah, it's been a while! Good to see you."
Good morning! How's your day?,"I'm doing great, thanks for asking!"
"Hey, long time no see!","I've been busy with work, but all is good."
"Hi, how's the weather over there?","I'm doing great, thanks for asking!"
"Hi, how's the weather over there?","Work's been hectic, but I'm managing."
"Hi, what's new with you?","Not much, just relaxing. How about you?"
"Hello, did you catch the game last night?",Yes! It was an intense match!
"Hi, how's work going?","Work's been hectic, but I'm managing."
Good morning! How's your day?,"It's sunny and warm here, how about there?"
"Hey, what have you been up to?","I'm doing great, thanks for asking!"
Hello! What's up?,"I'm doing great, thanks for asking!"
"Hi, what's new with you?","Not much, just the usual routine."
"Hi, how's work going?","Not much, just relaxing. How about you?"
"Hi, how are you?","Not much, just relaxing. How about you?"
"Hi, how's work going?","Not much, just the usual routine."
Good morning! How's your day?,Yes! It was an intense match!
"Hi, how are you?","I've been busy with work, but all is good."
"Hello, did you catch the game last night?","It's sunny and warm here, how about there?"
"Hey, long time no see!","Not much, just relaxing. How about you?"
Good evening! Any weekend plans?,"Yeah, it's been a while! Good to see you."
"Hi, how's work going?","I'm doing great, thanks for asking!"
"Hey, long time no see!","Not much, just relaxing. How about you?"
Hello! What's up?,"My day has been pretty good, how about yours?"
"Hey, what have you been up to?","Work's been hectic, but I'm managing."
"Hello, did you catch the game last night?","I'm doing great, thanks for asking!"
Good evening! Any weekend plans?,"Not much, just relaxing. How about you?"
"Hi, what's new with you?","It's sunny and warm here, how about there?"
"Hey, what have you been up to?","My day has been pretty good, how about yours?"
Good evening! Any weekend plans?,"It's sunny and warm here, how about there?"
"Hi, how's work going?","I'm doing great, thanks for asking!"
Good morning! How's your day?,Yes! It was an intense match!
Good evening! Any weekend plans?,"Not much, just relaxing. How about you?"
"Hello, did you catch the game last night?","Not much, just relaxing. How about you?"
Good morning! How's your day?,"Not much, just the usual routine."
"Hi, what's new with you?","Not yet, I'm still deciding what to do."
"Hi, how's work going?","Not much, just relaxing. How about you?"
"Hi, what's new with you?","Not yet, I'm still deciding what to do."
"Hi, what's new with you?","Work's been hectic, but I'm managing."
Good evening! Any weekend plans?,"I'm doing great, thanks for asking!"
Good morning! How's your day?,"I'm doing great, thanks for asking!"
Hello! What's up?,"My day has been pretty good, how about yours?"
"Hi, how's work going?","Not yet, I'm still deciding what to do."
Hello! What's up?,"Work's been hectic, but I'm managing."
"Hi, how's work going?","I'm doing great, thanks for asking!"
Good morning! How's your day?,"Not much, just the usual routine."
"Hello, did you catch the game last night?","I'm doing great, thanks for asking!"
"Hey, long time no see!","I'm doing great, thanks for asking!"
"Hello, did you catch the game last night?",Yes! It was an intense match!
"Hi, how are you?","Not much, just relaxing. How about you?"
Good evening! Any weekend plans?,"Not much, just relaxing. How about you?"
"Hi, how's work going?","Not yet, I'm still deciding what to do."
Good morning! How's your day?,"Not much, just relaxing. How about you?"
"Hey, what have you been up to?","It's sunny and warm here, how about there?"
"Hi, what's new with you?","Work's been hectic, but I'm managing."
"Hey, what have you been up to?",Yes! It was an intense match!
"Hi, how's the weather over there?","Not yet, I'm still deciding what to do."
"Hi, what's new with you?","Yeah, it's been a while! Good to see you."
"Hi, how's work going?","Not yet, I'm still deciding what to do."
"Hi, how's the weather over there?","I'm doing great, thanks for asking!"
Good morning! How's your day?,"Yeah, it's been a while! Good to see you."
"Hi, how's the weather over there?","It's sunny and warm here, how about there?"
"Hi, how's the weather over there?","Yeah, it's been a while! Good to see you."
"Hey, what have you been up to?","Work's been hectic, but I'm managing."
Good morning! How's your day?,"I'm doing great, thanks for asking!"
"Hi, how are you?",Yes! It was an intense match!
"Hi, how's the weather over there?",Yes! It was an intense match!
